lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.070891,-34.896839,-39.2566666667,-63.39,-66.39,-54.7233333333,-74.3233333333,-65.39
-8.062437,-34.887695,-78.4566666667,-80.69,-84.29,-85.4566666667,-85.29,-88.6233333333
-8.072888,-34.896637,-43.8233333333,-60.1233333333,-66.7566666667,-42.9233333333,-64.5233333333,-72.7233333333
-8.069549,-34.895035,-51.94,-74.84,-69.14,-61.64,-58.69,-61.99
-8.072315,-34.892288,-53.69,-63.09,-70.24,-39.24,-45.29,-73.24
-8.068757,-34.891052,-69.79,-76.89,-71.2233333333,-57.8566666667,-27.0566666667,-65.3566666667
-8.073061,-34.896591,-39.7233333333,-49.9233333333,-62.39,-43.2233333333,-68.7233333333,-59.89
-8.063583,-34.90144,-82.99,-72.6233333333,-76.09,-66.8233333333,-77.59,-74.6566666667
-8.069696,-34.890579,-62.49,-73.89,-72.84,-56.54,-49.54,-50.69
-8.0761,-34.899815,-62.19,-53.49,-60.5566666667,-76.1566666667,-79.39,-82.7566666667
-8.063851,-34.897186,-68.99,-49.99,-66.9566666667,-36.4233333333,-72.3233333333,-55.39
-8.064117,-34.885654,-58.39,-83.1566666667,-76.1566666667,-63.6566666667,-82.89,-87.2566666667
-8.071136,-34.89183,-51.89,-60.715,-69.315,-40.39,-53.465,-77.59
-8.072618,-34.89085,-49.5566666667,-65.5566666667,-66.0566666667,-54.7233333333,-58.99,-78.2233333333
-8.06813,-34.890324,-66.74,-79.84,-74.215,-64.39,-49.29,-71.64
-8.064602,-34.889473,-75.89,-67.0566666667,-75.7233333333,-79.1233333333,-65.69,-86.29
-8.065026,-34.894054,-76.29,-61.29,-69.39,-74.1233333333,-61.1233333333,-51.89
-8.068939,-34.90004,-48.4233333333,-52.3566666667,-62.5233333333,-66.69,-65.1566666667,-52.89
-8.069304,-34.89542,-55.4566666667,-67.3233333333,-56.8233333333,-51.2233333333,-55.8566666667,-58.8233333333
-8.068633,-34.896378,-52.79,-61.9233333333,-59.19,-54.2566666667,-66.69,-51.1233333333
-8.075579,-34.899986,-69.9233333333,-60.39,-69.19,-76.29,-85.3566666667,-88.9566666667
-8.064724,-34.893314,-77.3233333333,-68.7233333333,-72.7233333333,-68.9233333333,-69.69,-65.59
-8.076573,-34.899685,-69.3233333333,-48.39,-65.4233333333,-76.6233333333,-81.8233333333,-83.39
-8.062348,-34.887798,-85.3233333333,-83.9233333333,-81.69,-84.4233333333,-86.8233333333,-90.09
-8.072389,-34.892269,-60.89,-60.39,-67.09,-40.64,-53.44,-70.44
-8.076112,-34.894768,-59.4233333333,-44.5233333333,-74.79,-50.8233333333,-77.89,-79.79
-8.07422,-34.900372,-65.2233333333,-56.89,-55.59,-64.39,-86.4233333333,-83.2233333333
-8.073114,-34.896576,-38.5566666667,-52.49,-64.7566666667,-47.79,-68.09,-60.7566666667
-8.064294,-34.885437,-58.1566666667,-85.8233333333,-77.09,-69.59,-80.5566666667,-83.89
-8.069448,-34.895206,-51.89,-70.0566666667,-57.09,-57.79,-56.7233333333,-56.2566666667
-8.07124,-34.891857,-44.39,-63.49,-69.64,-40.59,-53.89,-77.19
-8.07,-34.896221,-43.39,-54.99,-61.6233333333,-47.8566666667,-67.6566666667,-67.89
-8.072478,-34.896534,-51.9233333333,-43.4566666667,-62.5233333333,-39.0233333333,-68.2566666667,-68.9233333333
-8.077435,-34.899364,-70.69,-53.79,-66.49,-79.4566666667,-77.39,-80.6233333333
-8.068492,-34.897316,-46.5566666667,-60.6233333333,-59.49,-58.5566666667,-68.99,-48.59
-8.065799,-34.88969,-86.39,-76.5233333333,-81.89,-72.5233333333,-49.3566666667,-78.09
-8.069003,-34.900478,-64.4233333333,-60.4233333333,-67.09,-68.9566666667,-73.7566666667,-52.9233333333
-8.069565,-34.895851,-48.8566666667,-63.9233333333,-58.49,-47.89,-60.8233333333,-64.6566666667
-8.064007,-34.894501,-77.7566666667,-58.6233333333,-75.99,-78.2233333333,-68.49,-65.7566666667
-8.072486,-34.892521,-51.39,-66.7566666667,-67.6566666667,-47.7566666667,-55.59,-63.4233333333
-8.062234,-34.887959,-81.49,-70.5566666667,-80.4233333333,-84.69,-80.1566666667,-88.4566666667
-8.072737,-34.89642,-48.6233333333,-48.5566666667,-67.2566666667,-42.39,-63.2233333333,-63.39
-8.06714,-34.894188,-74.49,-70.0566666667,-69.1233333333,-72.89,-65.49,-37.9566666667
-8.06581,-34.890003,-85.8233333333,-76.39,-77.89,-68.4233333333,-58.29,-71.89
-8.070002,-34.894081,-50.64,-68.09,-66.74,-49.44,-52.04,-53.89
